Name,Address,Line,Train Information URL,Web URL,GIS Identifier,Master Address Repository Identifier,CREATOR,CREATED,EDITOR,EDITED
Cheverly,"5501 COLUMBIA PARK, CHEVERLY, MD",orange,https://www.wmata.com/js/nexttrain/nexttrain.html#D11|Cheverly,https://www.wmata.com/rider-guide/stations/cheverly.cfm,MetroStnFullPt_72,,JLAY,"11/30/2022, 3:32 PM",JLAY,"11/30/2022, 3:32 PM"
Downtown Largo,"9000 LOTTSFORD ROAD, LARGO, MD","blue, silver",https://www.wmata.com/js/nexttrain/nexttrain.html#G05|Largo Town Center,https://www.wmata.com/rider-guide/stations/downtown-largo.cfm,MetroStnFullPt_73,,JLAY,"11/30/2022, 3:32 PM",JLAY,"3/19/2024, 3:27 PM"
NoMa-Gallaudet U,"1301 2ND STREET NE, WASHINGTON, DC",red,https://www.wmata.com/js/nexttrain/nexttrain.html#B35|NoMa-Gallaudet U,https://www.wmata.com/rider-guide/stations/new-york-ave.cfm,MetroStnFullPt_74,"316,364",JLAY,"11/30/2022, 3:32 PM",JLAY,"11/30/2022, 3:32 PM"
Rosslyn,"1850 N. MOORE STREET, ARLINGTON, VA","blue, orange, silver",https://www.wmata.com/js/nexttrain/nexttrain.html#C05|Rosslyn,https://www.wmata.com/rider-guide/stations/rosslyn.cfm,MetroStnFullPt_75,,JLAY,"11/30/2022, 3:32 PM",JLAY,"11/30/2022, 3:32 PM"
Arlington Cemetery,"1000 NORTH MEMORIAL DRIVE, ARLINGTON, VA",blue,https://www.wmata.com/js/nexttrain/nexttrain.html#C06|Arlington Cemetery,https://www.wmata.com/rider-guide/stations/arlington-cemetery.cfm,MetroStnFullPt_76,,JLAY,"11/30/2022, 3:32 PM",JLAY,"11/30/2022, 3:32 PM"
Dupont Circle,"1525 20TH STREET NW, WASHINGTON, DC",red,https://www.wmata.com/js/nexttrain/nexttrain.html#A03|Dupont Circle,https://www.wmata.com/rider-guide/stations/dupont-circle.cfm,MetroStnFullPt_77,,JLAY,"11/30/2022, 3:32 PM",JLAY,"11/30/2022, 3:32 PM"
Pentagon,"2 SOUTH ROTARY ROAD, ARLINGTON, VA","blue, yellow",https://www.wmata.com/js/nexttrain/nexttrain.html#C07|Pentagon,https://www.wmata.com/rider-guide/stations/pentagon.cfm,MetroStnFullPt_78,,JLAY,"11/30/2022, 3:32 PM",JLAY,"11/30/2022, 3:32 PM"
Crystal City,"1750 SOUTH CLARK ST., ARLINGTON, VA","blue, yellow",https://www.wmata.com/js/nexttrain/nexttrain.html#C09|Crystal City,https://www.wmata.com/rider-guide/stations/crystal-city.cfm,MetroStnFullPt_79,,JLAY,"11/30/2022, 3:32 PM",JLAY,"11/30/2022, 3:32 PM"
Navy Yard-Ballpark,"1155 NEW JERSEY AVENUE SE, WASHINGTON, DC",green,https://www.wmata.com/js/nexttrain/nexttrain.html#F05|Navy Yard-Ballpark,https://www.wmata.com/rider-guide/stations/navy-yard.cfm,MetroStnFullPt_80,"310,434",JLAY,"11/30/2022, 3:32 PM",JLAY,"11/30/2022, 3:32 PM"
McPherson Sq,"1402 I STREET NW, WASHINGTON, DC","blue, orange, silver",https://www.wmata.com/js/nexttrain/nexttrain.html#C02|McPherson Square,https://www.wmata.com/rider-guide/stations/mcpherson-sq.cfm,MetroStnFullPt_81,"316,430",JLAY,"11/30/2022, 3:32 PM",JLAY,"11/30/2022, 3:32 PM"
Shaw-Howard U,"1801 7TH ST NW, WASHINGTON, DC",green,https://www.wmata.com/js/nexttrain/nexttrain.html#E02|Shaw-Howard%20U,https://www.wmata.com/rider-guide/stations/shaw-howard.cfm,MetroStnFullPt_82,"310,410",JLAY,"11/30/2022, 3:32 PM",JLAY,"3/19/2024, 3:27 PM"
Southern Avenue,"1411 SOUTHERN AVENUE, TEMPLE HILLS, MD",green,https://www.wmata.com/js/nexttrain/nexttrain.html#F08|Southern%20Avenue,https://www.wmata.com/rider-guide/stations/southern-ave.cfm,MetroStnFullPt_83,,JLAY,"11/30/2022, 3:32 PM",JLAY,"11/30/2022, 3:32 PM"
Greenbelt,"5717 GREENBELT METRO DRIVE, GREENBELT, MD",green,https://www.wmata.com/js/nexttrain/nexttrain.html#E10|Greenbelt,https://www.wmata.com/rider-guide/stations/greenbelt.cfm,MetroStnFullPt_84,,JLAY,"11/30/2022, 3:32 PM",JLAY,"3/19/2024, 3:27 PM"
